Datum des Antrages;22.12.91
Abstimmendes Gremium;Jugendausschuss
Titel des Antrags;Kontrolle erweitertes Führungszeugniss
Antragstext;Vorzeigen des aktuellen erweiterten Führungszeugnis aller 2 Jahre für Jugendleiter*innen und Hilfsbetreuer*innen. Konsequenz falls kein Vorzeigen: Keine Teilnahme an Aktionen mit der Jugend möglich.
Begründung;Eindämmung sexualisierter Gewalst
Abstimmungsergebnis:;
Dafür;11
Dagegen;0
Enthaltung;6
Angenommen/Abgelhnt;Angenommen
Anhang;""
Beschreibung Anhänge;
Schlagwörter;Sicherheit Organisation
Vorhande Schlagwörter;Sicherheit
;Organisation
;Klettergruppen
;offene Ausfahrt
;Gruppenausfahrten
;Finanzielles
;Material
;Öffentlichkeitsarbeit
;Dringlichkeitsantrag